part,emotion,n
1,счастье,0
1,радость,2
1,восторг,0
2,счастье,4
2,радость,3
2,восторг,0
3,счастье,1
3,радость,1
3,восторг,0
4,счастье,0
4,радость,1
4,восторг,0
5,счастье,1
5,радость,1
5,восторг,0
6,счастье,9
6,радость,4
6,восторг,2
7,счастье,0
7,радость,0
7,восторг,0
8,счастье,1
8,радость,0
8,восторг,0
9,счастье,1
9,радость,1
9,восторг,0
10,счастье,2
10,радость,4
10,восторг,0
11,счастье,2
11,радость,0
11,восторг,1
12,счастье,0
12,радость,3
12,восторг,0
13,счастье,0
13,радость,0
13,восторг,0
14,счастье,0
14,радость,0
14,восторг,0
15,счастье,0
15,радость,0
15,восторг,0
16,счастье,0
16,радость,0
16,восторг,0
17,счастье,0
17,радость,0
17,восторг,0
