part,emotion,n
1,счастье,2
1,радость,0
1,восторг,1
2,счастье,0
2,радость,0
2,восторг,0
3,счастье,0
3,радость,0
3,восторг,0
4,счастье,3
4,радость,6
4,восторг,2
5,счастье,0
5,радость,0
5,восторг,0
6,счастье,9
6,радость,7
6,восторг,4
7,счастье,4
7,радость,6
7,восторг,2
8,счастье,4
8,радость,2
8,восторг,1
9,счастье,3
9,радость,5
9,восторг,0
10,счастье,0
10,радость,0
10,восторг,0
11,счастье,2
11,радость,6
11,восторг,1
12,счастье,1
12,радость,1
12,восторг,1
13,счастье,0
13,радость,0
13,восторг,0
14,счастье,0
14,радость,0
14,восторг,0
15,счастье,3
15,радость,9
15,восторг,0
16,счастье,2
16,радость,4
16,восторг,1
17,счастье,0
17,радость,0
17,восторг,0
