part,emotion,n
1,счастье,1
1,радость,6
1,восторг,1
2,счастье,0
2,радость,0
2,восторг,0
3,счастье,6
3,радость,2
3,восторг,0
4,счастье,1
4,радость,0
4,восторг,0
5,счастье,4
5,радость,10
5,восторг,4
6,счастье,1
6,радость,3
6,восторг,0
7,счастье,0
7,радость,0
7,восторг,0
8,счастье,1
8,радость,4
8,восторг,0
9,счастье,1
9,радость,0
9,восторг,1
10,счастье,0
10,радость,6
10,восторг,0
11,счастье,0
11,радость,3
11,восторг,4
12,счастье,0
12,радость,1
12,восторг,0
13,счастье,1
13,радость,3
13,восторг,1
14,счастье,1
14,радость,3
14,восторг,2
15,счастье,7
15,радость,9
15,восторг,0
16,счастье,2
16,радость,7
16,восторг,4
17,счастье,0
17,радость,0
17,восторг,0
