part,emotion,n
1,счастье,3
1,радость,10
1,восторг,3
2,счастье,5
2,радость,5
2,восторг,1
3,счастье,11
3,радость,10
3,восторг,2
4,счастье,7
4,радость,9
4,восторг,5
5,счастье,6
5,радость,12
5,восторг,4
6,счастье,22
6,радость,20
6,восторг,8
7,счастье,4
7,радость,7
7,восторг,4
8,счастье,10
8,радость,13
8,восторг,2
9,счастье,7
9,радость,11
9,восторг,2
10,счастье,4
10,радость,12
10,восторг,1
11,счастье,5
11,радость,12
11,восторг,8
12,счастье,3
12,радость,8
12,восторг,1
13,счастье,2
13,радость,4
13,восторг,1
14,счастье,1
14,радость,4
14,восторг,2
15,счастье,13
15,радость,23
15,восторг,0
16,счастье,4
16,радость,16
16,восторг,5
17,счастье,0
17,радость,0
17,восторг,0
