volume,part,chapter,value,emphasis,keywords,keytokens,emotionwords
Том первый,Часть первая,I,1,"— А! Я очень РАД буду, — сказал князь. — Скажите, — прибавил он, как будто только что вспомнив что-то и особенно-небрежно, тогда как то, о чем он спрашивал, было главной целью его посещения, — правда, что l'impératrice-mère 12 желает назначения барона Функе первым секретарем в Вену? C'est un pauvre sire, ce baron, à ce qu'il paraît 13. — Князь Василий желал определить сына на это место, которое через императрицу Марию Феодоровну старались доставить барону.",рад,рад,радость
Том первый,Часть первая,I,1,"— Я часто думаю, — продолжала Анна Павловна после минутного молчания, придвигаясь к князю и ласково улыбаясь ему, как будто выказывая этим, что политические и светские разговоры кончены и теперь начинается задушевный, — я часто думаю, как иногда несправедливо распределяется СЧАСТИЕ жизни. За что вам дала судьба таких двух славных детей (исключая Анатоля, вашего меньшого, я его не люблю, — вставила она безапелляционно, приподняв брови), — таких прелестных детей? А вы, право, менее всех цените их и потому их не сто́ите.",счастие,счастие,счастье
Том первый,Часть первая,I,1,"— Я часто думаю, — продолжала Анна Павловна после минутного молчания, придвигаясь к князю и ласково улыбаясь ему, как будто выказывая этим, что политические и светские разговоры кончены и теперь начинается задушевный, — я часто думаю, как иногда несправедливо распределяется СЧАСТИЕ жизни. За что вам дала судьба таких двух славных детей (исключая Анатоля, вашего меньшого, я его не люблю, — вставила она безапелляционно, приподняв брови), — таких прелестных детей? А вы, право, менее всех цените их и потому их не сто́ите.",счастие,счастие,счастье
Том первый,Часть первая,I,1,И она улыбнулась своею ВОСТОРЖЕННОЙ улыбкой.,восторженный,восторженной,восторг
Том первый,Часть первая,II,2,"— C'est bien aimable à vous, monsieur Pierre, d'être venu voir une pauvre malade 9, — сказала ему Анна Павловна, испуганно переглядываясь с тетушкой, к которой она подводила его. Пьер пробурлил что-то непонятное и продолжал отыскивать что-то глазами. Он РАДОСТНО, весело улыбнулся, кланяясь маленький княгине, как близкой знакомой, и подошел к тетушке. Страх Анны Павловны был не напрасен, потому что Пьер, не дослушав речи тетушки о здоровье ее величества, отошел от нее. Анна Павловна испуганно остановила его словами:",радостно,радостно,радость
Том первый,Часть первая,II,2,"— C'est bien aimable à vous, monsieur Pierre, d'être venu voir une pauvre malade 9, — сказала ему Анна Павловна, испуганно переглядываясь с тетушкой, к которой она подводила его. Пьер пробурлил что-то непонятное и продолжал отыскивать что-то глазами. Он РАДОСТНО, весело улыбнулся, кланяясь маленький княгине, как близкой знакомой, и подошел к тетушке. Страх Анны Павловны был не напрасен, потому что Пьер, не дослушав речи тетушки о здоровье ее величества, отошел от нее. Анна Павловна испуганно остановила его словами:",радостно,радостно,радость
Том первый,Часть первая,III,3,"— Ah! voyons. Contez-nous cela, vicomte, — сказала Анна Павловна, с РАДОСТЬЮ чувствуя, как чем-то à la Louis XV отзывалась эта фраза, — contez-nous cela, vicomte 1.",радость,радостью,радость
Том первый,Часть первая,III,3,"— Я так очарован прелестями ума и образования общества, в особенности женского, в которое я имел СЧАСТЬЕ быть принят, что не успел еще подумать о климате, — сказал он.",счастие,счастье,счастье
Том первый,Часть первая,III,3,"— Я так очарован прелестями ума и образования общества, в особенности женского, в которое я имел СЧАСТЬЕ быть принят, что не успел еще подумать о климате, — сказал он.",счастие,счастье,счастье
Том первый,Часть первая,III,3,"Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него РАДОСТНЫХ, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.",радостный,радостных,радость
