Unnamed: 0,character,emphasis,volume,part,chapter,value,paragraph,token,lemma,concept,totalpart
21,Natasha,"Когда молились за воинство, она вспомнила брата и Денисова. Когда молились за плавающих и путешествующих, она вспомнила князя Андрея и молилась за него, и молилась за то, чтобы Бог простил ей то зло, которое она ему сделала. Когда молились за любящих нас, она молилась о своих домашних, об отце, матери, Соне, в первый раз теперь понимая всю свою вину перед ними и чувствуя всю силу своей любви к ним. Когда молились о ненавидящих нас, она придумала себе врагов и ненавидящих для того, чтобы молиться за них. Она причисляла к врагам кредиторов и всех тех, которые имели дело с ее отцом, и всякий раз, при мысли о врагах и ненавидящих, она вспоминала Анатоля, сделавшего ей столько зла, и хотя он не был ненавидящий, она РАДОСТНО молились за него как за врага. Только на молитве она чувствовала себя в силах ясно и спокойно вспоминать и о князе Андрее и об Анатоле, как об людях, к которым чувства ее уничтожались в сравнении с ее чувством страха и благоговения к Богу. Когда молились за царскую фамилию и за синод, она особенно низко кланялась и крестилась, говоря себе, что, ежели она не понимает, она не может сомневаться и все-таки любит Правительствующий синод и молится за него.",Том третий,Часть первая,XVIII,181,"Когда молились за воинство, она вспомнила брата и Денисова. Когда молились за плавающих и путешествующих, она вспомнила князя Андрея и молилась за него, и молилась за то, чтобы Бог простил ей то зло, которое она ему сделала. Когда молились за любящих нас, она молилась о своих домашних, об отце, матери, Соне, в первый раз теперь понимая всю свою вину перед ними и чувствуя всю силу своей любви к ним. Когда молились о ненавидящих нас, она придумала себе врагов и ненавидящих для того, чтобы молиться за них. Она причисляла к врагам кредиторов и всех тех, которые имели дело с ее отцом, и всякий раз, при мысли о врагах и ненавидящих, она вспоминала Анатоля, сделавшего ей столько зла, и хотя он не был ненавидящий, она радостно молились за него как за врага. Только на молитве она чувствовала себя в силах ясно и спокойно вспоминать и о князе Андрее и об Анатоле, как об людях, к которым чувства ее уничтожались в сравнении с ее чувством страха и благоговения к Богу. Когда молились за царскую фамилию и за синод, она особенно низко кланялась и крестилась, говоря себе, что, ежели она не понимает, она не может сомневаться и все-таки любит Правительствующий синод и молится за него.",радостно,радостно,радость,9
154,Natasha,"Мрачное, несчастное лицо Пьера поразило ее. Она остановилась против него. Ей хотелось помочь ему, передать ему излишек своего СЧАСТИЯ.",Том второй,Часть третья,XVII,119,"Мрачное, несчастное лицо Пьера поразило ее. Она остановилась против него. Ей хотелось помочь ему, передать ему излишек своего счастия.",счастия,счастие,счастье,6
194,Natasha,"Ростов, забыв совершенно о Денисове, не желая никому дать предупредить себя, скинул шубу и на цыпочках побежал в темную большую залу. Все то же — те же ломберные столы, та же люстра в чехле; но кто-то уж видел молодого барина, и не успел он добежать до гостиной, как что-то стремительно, как буря, вылетело из боковой двери и обняло и стало целовать его. Еще другое, третье такое же существо выскочило из другой, третьей двери; еще объятия, еще поцелуи, еще крики, слезы РАДОСТИ. Он не мог разобрать, где и кто папа, кто Наташа, кто Петя. Все кричали, говорили и целовали его в одно и то же время. Только матери не было в числе их — это он помнил.",Том второй,Часть первая,I,66,"Ростов, забыв совершенно о Денисове, не желая никому дать предупредить себя, скинул шубу и на цыпочках побежал в темную большую залу. Все то же — те же ломберные столы, та же люстра в чехле; но кто-то уж видел молодого барина, и не успел он добежать до гостиной, как что-то стремительно, как буря, вылетело из боковой двери и обняло и стало целовать его. Еще другое, третье такое же существо выскочило из другой, третьей двери; еще объятия, еще поцелуи, еще крики, слезы радости. Он не мог разобрать, где и кто папа, кто Наташа, кто Петя. Все кричали, говорили и целовали его в одно и то же время. Только матери не было в числе их — это он помнил.",радости,радость,радость,4
195,Natasha,"Ростов поспешно обулся, надел халат и вышел. Наташа надела один сапог со шпорой и влезала в другой. Соня кружилась и только что хотела раздуть платье и присесть, когда он вышел. Обе были в одинаковых, новеньких, голубых платьях — свежие, румяные, веселые. Соня убежала, а Наташа, взяв брата под руку, повела его в диванную, и у них начался разговор. Они не успевали спрашивать друг друга и отвечать на вопросы о тысячах мелочей, которые могли интересовать только их одних. Наташа смеялась при всяком слове, которое он говорил и которое она говорила, не потому, что было смешно то, что они говорили, но потому, что ей было весело и она не в силах была удерживать своей РАДОСТИ, выражавшейся смехом.",Том второй,Часть первая,I,66,"Ростов поспешно обулся, надел халат и вышел. Наташа надела один сапог со шпорой и влезала в другой. Соня кружилась и только что хотела раздуть платье и присесть, когда он вышел. Обе были в одинаковых, новеньких, голубых платьях — свежие, румяные, веселые. Соня убежала, а Наташа, взяв брата под руку, повела его в диванную, и у них начался разговор. Они не успевали спрашивать друг друга и отвечать на вопросы о тысячах мелочей, которые могли интересовать только их одних. Наташа смеялась при всяком слове, которое он говорил и которое она говорила, не потому, что было смешно то, что они говорили, но потому, что ей было весело и она не в силах была удерживать своей радости, выражавшейся смехом.",радости,радость,радость,4
196,Natasha,"И Наташа встала на цыпочках и прошлась из комнаты так, как делают танцовщицы, но улыбаясь так, как только улыбаются счастливые пятнадцатилетние девочки. Встретившись в гостиной с Соней, Ростов покраснел. Он не знал, как обойтись с ней. Вчера они поцеловались в первую минуту РАДОСТИ свидания, но нынче он чувствовал, что нельзя было этого сделать; он чувствовал, что все, и мать и сестры, смотрели на него вопросительно и от него ожидали, как он поведет себя с нею. Он поцеловал ее руку и назвал ее вы — Соня. Но глаза их, встретившись, сказали друг другу «ты» и нежно поцеловались. Она просила своим взглядом у него прощенья за то, что в посольстве Наташи она смела напомнить ему о его обещании, и благодарила его за его любовь. Он своим взглядом благодарил ее за предложение свободы и говорил, что, так ли, иначе ли, он никогда не перестанет любить ее, потому что нельзя не любить ее.",Том второй,Часть первая,I,66,"И Наташа встала на цыпочках и прошлась из комнаты так, как делают танцовщицы, но улыбаясь так, как только улыбаются счастливые пятнадцатилетние девочки. Встретившись в гостиной с Соней, Ростов покраснел. Он не знал, как обойтись с ней. Вчера они поцеловались в первую минуту радости свидания, но нынче он чувствовал, что нельзя было этого сделать; он чувствовал, что все, и мать и сестры, смотрели на него вопросительно и от него ожидали, как он поведет себя с нею. Он поцеловал ее руку и назвал ее вы — Соня. Но глаза их, встретившись, сказали друг другу «ты» и нежно поцеловались. Она просила своим взглядом у него прощенья за то, что в посольстве Наташи она смела напомнить ему о его обещании, и благодарила его за его любовь. Он своим взглядом благодарил ее за предложение свободы и говорил, что, так ли, иначе ли, он никогда не перестанет любить ее, потому что нельзя не любить ее.",радости,радость,радость,4
197,Natasha,"Когда пришел опять черед Наташи, она встала и быстро перебирая своими с бантиками башмачками, робея, одна пробежала через залу к углу, где сидел Денисов. Она видела, что все смотрят на нее и ждут. Николай видел, что Денисов и Наташа, улыбаясь, спорили и что Денисов отказывался, но РАДОСТНО улыбался. Он подбежал.",Том второй,Часть первая,XII,77,"Когда пришел опять черед Наташи, она встала и быстро перебирая своими с бантиками башмачками, робея, одна пробежала через залу к углу, где сидел Денисов. Она видела, что все смотрят на нее и ждут. Николай видел, что Денисов и Наташа, улыбаясь, спорили и что Денисов отказывался, но радостно улыбался. Он подбежал.",радостно,радостно,радость,4
198,Natasha,"— Как я РАДА, что ты приехал! — не отвечая, сказала Наташа. — Нам так весело! Василий Дмитрич остался для меня еще день, ты знаешь?",Том второй,Часть первая,XV,80,"— Как я рада, что ты приехал! — не отвечая, сказала Наташа. — Нам так весело! Василий Дмитрич остался для меня еще день, ты знаешь?",рада,рад,радость,4
199,Natasha,"«И чему она РАДУЕТСЯ! — подумал Николай, глядя на сестру. — И как ей не скучно и не совестно!» Наташа взяла первую ноту, горло ее расширилось, грудь выпрямилась, глаза приняли серьезное выражение. Она не думала ни о ком, ни о чем в эту минуту, и из в улыбку сложенного рта полились звуки, те звуки, которые может производить в те же промежутки времени и в те же интервалы всякий, но которые тысячу раз оставляют вас холодным, в тысячу первый раз заставляют вас содрогаться и плакать.",Том второй,Часть первая,XV,80,"«И чему она радуется! — подумал Николай, глядя на сестру. — И как ей не скучно и не совестно!» Наташа взяла первую ноту, горло ее расширилось, грудь выпрямилась, глаза приняли серьезное выражение. Она не думала ни о ком, ни о чем в эту минуту, и из в улыбку сложенного рта полились звуки, те звуки, которые может производить в те же промежутки времени и в те же интервалы всякий, но которые тысячу раз оставляют вас холодным, в тысячу первый раз заставляют вас содрогаться и плакать.",радуется,радоваться,радость,4
201,Natasha,"В продолжение скучного дня, во время которого князя Андрея занимали старшие хозяева и почетнейшие из гостей, которыми по случаю приближающихся именин был полон дом старого графа, Болконский, несколько раз взглядывая на Наташу, чему-то смеявшуюся, веселившуюся между другой, молодой половиной общества, все спрашивал себя: «О чем она думает? Чему она так РАДА?»",Том второй,Часть третья,II,104,"В продолжение скучного дня, во время которого князя Андрея занимали старшие хозяева и почетнейшие из гостей, которыми по случаю приближающихся именин был полон дом старого графа, Болконский, несколько раз взглядывая на Наташу, чему-то смеявшуюся, веселившуюся между другой, молодой половиной общества, все спрашивал себя: «О чем она думает? Чему она так рада?»",рада,рад,радость,6
202,Natasha,"Борис помнил ту Наташу в коротеньком платье, с черными блестящими из-под локонов глазами и с отчаянным детским смехом, которую он знал четыре года тому назад, и потому, когда вошла совсем другая Наташа, он смутился и лицо его выразило восторженное удивление. Это выражение его лица ОБРАДОВАЛО Наташу.",Том второй,Часть третья,XII,114,"Борис помнил ту Наташу в коротеньком платье, с черными блестящими из-под локонов глазами и с отчаянным детским смехом, которую он знал четыре года тому назад, и потому, когда вошла совсем другая Наташа, он смутился и лицо его выразило восторженное удивление. Это выражение его лица обрадовало Наташу.",обрадовало,обрадовать,радость,6
