part,char,n
1,Andrei,7
1,Pierre,16
1,Natasha,5
2,Andrei,26
2,Pierre,0
2,Natasha,0
3,Andrei,30
3,Pierre,34
3,Natasha,1
4,Andrei,6
4,Pierre,6
4,Natasha,29
5,Andrei,14
5,Pierre,44
5,Natasha,2
6,Andrei,70
6,Pierre,14
6,Natasha,44
7,Andrei,2
7,Pierre,0
7,Natasha,38
8,Andrei,12
8,Pierre,13
8,Natasha,40
9,Andrei,18
9,Pierre,9
9,Natasha,27
10,Andrei,24
10,Pierre,16
10,Natasha,2
11,Andrei,18
11,Pierre,16
11,Natasha,30
12,Andrei,9
12,Pierre,3
12,Natasha,13
13,Andrei,2
13,Pierre,19
13,Natasha,0
14,Andrei,0
14,Pierre,19
14,Natasha,0
15,Andrei,0
15,Pierre,62
15,Natasha,35
16,Andrei,1
16,Pierre,34
16,Natasha,21
17,Andrei,0
17,Pierre,0
17,Natasha,0
