part,char,n
1,Andrei,4
1,Pierre,6
1,Natasha,0
2,Andrei,5
2,Pierre,0
2,Natasha,0
3,Andrei,4
3,Pierre,6
3,Natasha,0
4,Andrei,2
4,Pierre,1
4,Natasha,6
5,Andrei,1
5,Pierre,10
5,Natasha,1
6,Andrei,9
6,Pierre,4
6,Natasha,7
7,Andrei,0
7,Pierre,0
7,Natasha,7
8,Andrei,1
8,Pierre,4
8,Natasha,8
9,Andrei,4
9,Pierre,1
9,Natasha,6
10,Andrei,5
10,Pierre,7
10,Natasha,0
11,Andrei,1
11,Pierre,3
11,Natasha,8
12,Andrei,4
12,Pierre,2
12,Natasha,2
13,Andrei,0
13,Pierre,4
13,Natasha,0
14,Andrei,0
14,Pierre,4
14,Natasha,0
15,Andrei,0
15,Pierre,11
15,Natasha,12
16,Andrei,0
16,Pierre,12
16,Natasha,4
17,Andrei,0
17,Pierre,0
17,Natasha,0
