part,char,n
1,Andrei,0
1,Pierre,1
1,Natasha,2
2,Andrei,5
2,Pierre,0
2,Natasha,0
3,Andrei,4
3,Pierre,7
3,Natasha,0
4,Andrei,0
4,Pierre,2
4,Natasha,5
5,Andrei,2
5,Pierre,4
5,Natasha,0
6,Andrei,11
6,Pierre,3
6,Natasha,8
7,Andrei,0
7,Pierre,0
7,Natasha,4
8,Andrei,1
8,Pierre,1
8,Natasha,8
9,Andrei,2
9,Pierre,1
9,Natasha,4
10,Andrei,3
10,Pierre,1
10,Natasha,0
11,Andrei,2
11,Pierre,1
11,Natasha,2
12,Andrei,1
12,Pierre,0
12,Natasha,2
13,Andrei,1
13,Pierre,1
13,Natasha,0
14,Andrei,0
14,Pierre,1
14,Natasha,0
15,Andrei,0
15,Pierre,9
15,Natasha,4
16,Andrei,0
16,Pierre,2
16,Natasha,2
17,Andrei,0
17,Pierre,0
17,Natasha,0
