part,char,n
1,Andrei,1
1,Pierre,1
1,Natasha,1
2,Andrei,1
2,Pierre,0
2,Natasha,0
3,Andrei,1
3,Pierre,0
3,Natasha,1
4,Andrei,0
4,Pierre,1
4,Natasha,4
5,Andrei,0
5,Pierre,4
5,Natasha,0
6,Andrei,4
6,Pierre,0
6,Natasha,4
7,Andrei,0
7,Pierre,0
7,Natasha,4
8,Andrei,1
8,Pierre,0
8,Natasha,1
9,Andrei,0
9,Pierre,2
9,Natasha,0
10,Andrei,1
10,Pierre,0
10,Natasha,0
11,Andrei,1
11,Pierre,5
11,Natasha,2
12,Andrei,0
12,Pierre,0
12,Natasha,1
13,Andrei,0
13,Pierre,1
13,Natasha,0
14,Andrei,0
14,Pierre,2
14,Natasha,0
15,Andrei,0
15,Pierre,0
15,Natasha,0
16,Andrei,0
16,Pierre,4
16,Natasha,1
17,Andrei,0
17,Pierre,0
17,Natasha,0
